,Time Slot,Trips,Passengers
0,00:00:01-05:00:00,,
1,05:00:01-06:00:00,1,0
2,06:00:01-07:00:00,3,128
3,07:00:01-08:00:00,4,152
4,08:00:01-09:00:00,6,212
5,09:00:01-10:00:00,9,194
6,10:00:01-11:00:00,7,186
7,11:00:01-12:00:00,9,134
8,12:00:01-13:00:00,3,112
9,13:00:01-14:00:00,3,60
10,14:00:01-15:00:00,5,120
11,15:00:01-16:00:00,3,77
12,16:00:01-17:00:00,6,82
13,17:00:01-18:00:00,5,83
14,18:00:01-19:00:00,4,79
15,19:00:01-20:00:00,5,130
16,20:00:01-21:00:00,5,110
17,21:00:01-22:00:00,0,68
18,22:00:01-23:00:00,,
19,23:00:01-24:00:00,,
